episode,channel,stage,x_m,y_m,outcome,svd_deg,nearest_center_m
1,1,survey,0.00,0.00,direction,113.55,0.00
1,1,survey,-1169.53,268.71,direction,43.57,0.00
1,1,survey-clear,817.47,878.49,direction,175.89,0.00
1,2,survey,0.00,0.00,direction,199.29,0.00
1,2,survey,-1169.53,268.71,direction,308.68,0.00
1,3,survey,0.00,0.00,direction,23.40,0.00
1,3,survey,-1169.53,268.71,no_signal,,0.00
1,3,survey-clear,-817.47,-878.49,no_signal,,0.00
1,3,survey-clear,352.06,-1147.20,no_signal,,0.00
1,3,survey-clear,1169.53,-268.71,direction,88.38,0.00
1,3,survey-clear,817.47,878.49,direction,313.71,0.00
1,4,survey,0.00,0.00,no_signal,,0.00
1,4,survey,-1169.53,268.71,no_signal,,0.00
1,4,survey-clear,-817.47,-878.49,no_signal,,0.00
1,4,survey-clear,352.06,-1147.20,no_signal,,0.00
1,4,survey-clear,1169.53,-268.71,direction,78.36,0.00
1,4,survey-clear,817.47,878.49,direction,6.09,0.00
1,5,survey,0.00,0.00,no_signal,,0.00
1,5,survey,-1169.53,268.71,no_signal,,0.00
1,5,survey-clear,-817.47,-878.49,direction,333.96,0.00
1,5,survey-clear,352.06,-1147.20,direction,265.54,0.00
1,5,survey-clear,1169.53,-268.71,no_signal,,0.00
1,6,survey,0.00,0.00,no_signal,,0.00
1,6,survey,-1169.53,268.71,no_signal,,0.00
1,6,survey-clear,-817.47,-878.49,no_signal,,0.00
1,6,survey-clear,352.06,-1147.20,direction,345.58,0.00
1,6,survey-clear,1169.53,-268.71,direction,241.15,0.00
1,7,survey,0.00,0.00,no_signal,,0.00
1,7,survey,-1169.53,268.71,no_signal,,0.00
1,7,survey-clear,-817.47,-878.49,direction,303.90,0.00
1,7,survey-clear,352.06,-1147.20,direction,201.47,0.00
1,8,survey,0.00,0.00,no_signal,,0.00
1,8,survey,-1169.53,268.71,no_signal,,0.00
1,8,survey-clear,-817.47,-878.49,no_signal,,0.00
1,8,survey-clear,352.06,-1147.20,no_signal,,0.00
1,8,survey-clear,1169.53,-268.71,no_signal,,0.00
1,8,survey-clear,817.47,878.49,direction,123.85,0.00
1,8,survey-clear,-352.06,1147.20,direction,39.17,0.00
1,9,survey,0.00,0.00,direction,195.30,0.00
1,9,survey,-1169.53,268.71,direction,320.06,0.00
1,10,survey,0.00,0.00,no_signal,,0.00
1,10,survey,-1169.53,268.71,no_signal,,0.00
1,10,survey-clear,-817.47,-878.49,no_signal,,0.00
1,10,survey-clear,352.06,-1147.20,direction,353.35,0.00
1,10,survey-clear,1169.53,-268.71,direction,274.37,0.00
1,11,survey,0.00,0.00,no_signal,,0.00
1,11,survey,-1169.53,268.71,no_signal,,0.00
1,11,survey-clear,-817.47,-878.49,no_signal,,0.00
1,11,survey-clear,352.06,-1147.20,no_signal,,0.00
