seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,direction,234.51,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,no_signal,,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,direction,273.23,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,-1200.00,0.00,1,no_signal,,365.000,1200.00
21,measure,survey,-1200.00,0.00,2,no_signal,,371.000,1200.00
22,measure,survey,-1200.00,0.00,3,no_signal,,377.000,1200.00
23,measure,survey,-1200.00,0.00,4,no_signal,,383.000,1200.00
24,measure,survey,-1200.00,0.00,5,no_signal,,389.000,1200.00
25,measure,survey,-1200.00,0.00,6,no_signal,,395.000,1200.00
26,measure,survey,-1200.00,0.00,7,no_signal,,401.000,1200.00
27,measure,survey,-1200.00,0.00,8,direction,222.12,407.000,1200.00
28,measure,survey,-1200.00,0.00,9,direction,232.63,413.000,1200.00
29,measure,survey,-1200.00,0.00,10,no_signal,,419.000,1200.00
30,measure,survey,-1200.00,0.00,11,no_signal,,425.000,1200.00
31,measure,survey,-1200.00,0.00,12,no_signal,,431.000,1200.00
32,measure,survey,-1200.00,0.00,13,direction,106.70,437.000,1200.00
33,measure,survey,-1200.00,0.00,14,no_signal,,443.000,1200.00
34,measure,survey,-1200.00,0.00,15,no_signal,,449.000,1200.00
35,measure,survey,-1200.00,0.00,16,no_signal,,455.000,1200.00
36,measure,survey,-1200.00,0.00,17,no_signal,,461.000,1200.00
37,measure,survey,-1200.00,0.00,18,no_signal,,467.000,1200.00
38,measure,survey,-1200.00,0.00,19,direction,188.04,473.000,1200.00
39,measure,survey,-1200.00,0.00,20,no_signal,,479.000,1200.00
40,measure,survey,-600.00,1039.23,1,no_signal,,725.000,2400.00
41,measure,survey,-600.00,1039.23,2,no_signal,,731.000,2400.00
42,measure,survey,-600.00,1039.23,3,no_signal,,737.000,2400.00
43,measure,survey,-600.00,1039.23,4,no_signal,,743.000,2400.00
