seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,146.78,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,direction,348.43,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,329.16,53.000,0.00
9,measure,survey,0.00,0.00,10,direction,154.00,59.000,0.00
10,measure,survey,0.00,0.00,11,direction,180.16,65.000,0.00
11,measure,survey,0.00,0.00,12,direction,218.77,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,direction,299.80,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,direction,245.13,119.000,0.00
20,measure,survey,-1129.24,405.99,1,direction,35.74,365.000,1200.00
21,measure,survey,-1129.24,405.99,2,no_signal,,371.000,1200.00
22,measure,survey,-1129.24,405.99,3,no_signal,,377.000,1200.00
23,measure,survey,-1129.24,405.99,4,no_signal,,383.000,1200.00
24,measure,survey,-1129.24,405.99,5,no_signal,,389.000,1200.00
25,measure,survey,-1129.24,405.99,6,no_signal,,395.000,1200.00
26,measure,survey,-1129.24,405.99,7,no_signal,,401.000,1200.00
27,measure,survey,-1129.24,405.99,8,no_signal,,407.000,1200.00
28,measure,survey,-1129.24,405.99,9,no_signal,,413.000,1200.00
29,measure,survey,-1129.24,405.99,10,direction,354.66,419.000,1200.00
30,measure,survey,-1129.24,405.99,11,direction,321.64,425.000,1200.00
31,measure,survey,-1129.24,405.99,12,direction,299.42,431.000,1200.00
32,measure,survey,-1129.24,405.99,13,no_signal,,437.000,1200.00
33,measure,survey,-1129.24,405.99,14,direction,87.23,443.000,1200.00
34,measure,survey,-1129.24,405.99,15,no_signal,,449.000,1200.00
35,measure,survey,-1129.24,405.99,16,no_signal,,455.000,1200.00
36,measure,survey,-1129.24,405.99,17,no_signal,,461.000,1200.00
37,measure,survey,-1129.24,405.99,18,direction,257.43,467.000,1200.00
38,measure,survey,-1129.24,405.99,19,direction,75.68,473.000,1200.00
